City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Havoysund,NO,2022-09-23 20:48:31,70.9963,24.6622,50.23,83,100,14.63
195,Usinsk,RU,2022-09-23 20:48:31,65.9939,57.5281,32.11,91,9,8.41
196,Oranjemund,NA,2022-09-23 20:48:32,-28.55,16.4333,55.08,82,68,12.41
197,Basoko,CD,2022-09-23 20:48:32,1.2391,23.616,70.29,97,70,1.61
198,Yagoua,CM,2022-09-23 20:48:33,10.3411,15.2329,73.89,93,100,9.73
199,Halifax,CA,2022-09-23 20:46:59,44.6453,-63.5724,53.46,96,100,7.0
200,San Cristobal,VE,2022-09-23 20:48:33,7.7669,-72.225,77.18,87,73,4.0
201,Dovolnoye,RU,2022-09-23 20:48:34,54.4958,79.6671,48.85,40,41,3.62
202,Tulua,CO,2022-09-23 20:48:34,4.0847,-76.1954,77.79,73,75,1.81
203,Lahan,NP,2022-09-23 20:48:34,26.7296,86.4951,78.44,83,100,3.13
204,Torbay,CA,2022-09-23 20:45:14,47.6666,-52.7314,62.76,91,100,21.85
205,Dioknisi,GE,2022-09-23 20:48:35,41.6293,42.3917,49.75,95,47,4.61
206,Sokolo,ML,2022-09-23 20:48:35,14.7328,-6.1219,85.57,53,30,2.62
207,Muros,ES,2022-09-23 20:48:36,42.7762,-9.0603,65.08,82,55,10.58
208,Raga,SS,2022-09-23 20:48:36,8.4596,25.678,70.21,95,100,1.66
209,Dudinka,RU,2022-09-23 20:48:37,69.4058,86.1778,29.62,88,95,16.73
210,Salalah,OM,2022-09-23 20:48:38,17.0151,54.0924,78.89,89,20,5.75
211,Itarema,BR,2022-09-23 20:48:38,-2.9248,-39.9167,78.66,82,0,15.73
212,Santa Vitoria Do Palmar,BR,2022-09-23 20:46:17,-33.5189,-53.3681,53.89,60,3,8.68
213,Tingi,TZ,2022-09-23 20:48:39,-11.3,35.0333,66.36,45,4,8.72
214,Batken,KG,2022-09-23 20:48:39,39.8333,71.0,53.31,34,0,2.71
215,Aleksandrov Gay,RU,2022-09-23 20:48:39,50.147,48.5704,66.74,71,100,12.39
216,Chicama,PE,2022-09-23 20:48:40,-7.8447,-79.1469,61.34,65,6,10.56
217,Sharjah,AE,2022-09-23 20:47:39,25.3573,55.4033,89.89,66,0,5.75
218,Eenhana,NA,2022-09-23 20:48:40,-17.4667,16.3333,70.45,12,0,6.62
219,Butembo,CD,2022-09-23 20:48:41,0.15,29.2833,57.87,97,86,2.71
220,Camacha,PT,2022-09-23 20:48:41,33.0833,-16.3333,71.02,73,40,13.8
221,Lima,PE,2022-09-23 20:47:09,-12.0432,-77.0282,59.25,77,100,9.22
222,Cachoeira Do Sul,BR,2022-09-23 20:48:42,-30.0392,-52.8939,57.07,69,7,3.91
223,Namibe,AO,2022-09-23 20:48:43,-15.1961,12.1522,63.68,78,3,8.68
224,Dangara,IN,2022-09-23 20:48:43,29.6799,75.8931,73.87,87,100,6.22
225,Tiznit,MA,2022-09-23 20:48:43,29.5833,-9.5,67.82,73,70,3.42
226,Scituate,US,2022-09-23 20:48:44,42.1959,-70.7259,60.8,58,40,10.36
227,Bawku,GH,2022-09-23 20:48:44,11.0616,-0.2417,78.64,79,85,6.98
228,Karabulak,RU,2022-09-23 20:48:46,43.3036,44.8964,58.19,74,100,6.15
229,Cockburn Town,TC,2022-09-23 20:48:46,21.4612,-71.1419,83.39,76,96,6.06
230,Krasnooktyabrskiy,RU,2022-09-23 20:48:46,44.9328,38.3712,50.09,73,66,4.45
231,Deder,ET,2022-09-23 20:49:47,9.3167,41.45,56.93,89,100,6.15
232,Vardo,NO,2022-09-23 20:49:47,70.3705,31.1107,48.18,87,75,16.11
233,Penarroya-Pueblonuevo,ES,2022-09-23 20:49:48,38.3,-5.2667,74.44,27,74,2.35
234,Bengkulu,ID,2022-09-23 20:49:48,-3.8004,102.2655,74.61,91,96,4.65
235,The Valley,AI,2022-09-23 20:49:49,18.217,-63.0578,84.81,79,40,11.5
236,Tessalit,ML,2022-09-23 20:49:49,20.1986,1.0114,93.6,14,49,3.22
237,General Roca,AR,2022-09-23 20:49:49,-39.0333,-67.5833,71.62,28,77,12.68
238,Carauari,BR,2022-09-23 20:49:50,-4.8828,-66.8958,74.95,93,82,5.79
239,Mar Del Plata,AR,2022-09-23 20:49:50,-38.0023,-57.5575,57.22,82,0,11.5
240,Mahbubabad,IN,2022-09-23 20:49:51,17.6167,80.0167,73.42,89,91,4.36
241,Phalodi,IN,2022-09-23 20:49:52,27.1333,72.3667,86.11,51,98,5.97
242,Malinovskiy,RU,2022-09-23 20:49:52,61.1953,62.8397,43.63,96,100,3.29
243,Maglie,IT,2022-09-23 20:49:53,40.1184,18.2989,62.47,72,0,3.44
244,Dvinskoy,RU,2022-09-23 20:49:53,62.1535,45.1175,40.5,87,68,6.73
245,Esmeraldas,BR,2022-09-23 20:49:53,-19.7625,-44.3139,84.31,43,100,4.61
246,Rawson,AR,2022-09-23 20:46:44,-43.3002,-65.1023,59.36,50,70,10.56
247,Savannah Bight,HN,2022-09-23 20:49:54,16.45,-85.85,83.79,72,99,8.84
248,Krasnoselkup,RU,2022-09-23 20:49:54,65.7,82.4667,34.97,96,100,10.02
249,Gamba,GA,2022-09-23 20:49:56,-2.65,10.0,75.69,86,100,8.19
